name,gender,probability,n
Akseli,male,1,10618
Akseliina,female,1,14
Akselinpoika,male,1,10
Aksiina,female,1,33
Aksu,male,1,130
Aku,male,1,3116
Akua,female,1,12
Akuliina,female,1,101
Aku-Matti,male,1,23
Akunpoika,male,1,10
Aku-Pekka,male,1,40
Aku-Petteri,male,1,45
Akusti,male,1,406
Aku-Ville,male,1,15
Akveliina,female,1,15
Akviliina,female,1,22
Al,male,1,26
Ala,female,1,12
Alaa,male,0.576923076923077,26
Alain,male,1,55
Alan,male,1,238
Alana,female,1,31
Alanna,female,1,17
Alari,male,1,39
Alaric,male,1,14
Alarik,male,1,2121
Alawi,male,1,10
Alba,female,1,46
Alban,male,1,31
Albana,female,1,15
Albanus,male,1,15
Albert,male,1,4813
Alberta,female,1,20
Albertiina,female,1,143
Albertina,female,1,107
Alberto,male,1,177
Albertti,male,1,49
Albiinus,male,1,11
Albin,male,1,1470
Albina,female,1,51
Albinus,male,1,80
Albion,male,1,20
Albulena,female,1,16
Alda,female,1,30
Aldi,female,1,11
Aldin,male,1,20
Aldo,male,1,24
Aldur,male,1,13
Ale,male,1,112
Alea,female,1,18
Alec,male,1,253
Alecia,female,1,13
Alef,male,1,15
Aleftina,female,1,12
Aleida,female,1,13
Alejandra,female,1,45
Alejandro,male,1,132
Alek,male,1,64
Aleks,male,1,233
Aleksa,female,1,34
Aleksanda,female,1,10
Aleksandar,male,1,28
Aleksander,male,1,2797
Aleksandr,male,1,395
Aleksandra,female,1,12481
Aleksandria,female,1,21
Aleksandros,male,1,19
Aleksandrovna,female,1,70
Aleksanter,male,1,13
Aleksanteri,male,1,12068
Aleksantra,female,1,69
Alekseevna,female,1,15
Aleksei,male,1,529
Aleksej,male,1,31
Aleksejevna,female,1,12
Aleksey,male,1,10
Aleksi,male,1,38958
Aleksia,female,1,93
Aleksiina,female,1,425
Aleksina,female,1,64
Aleksinpoika,male,1,21
Aleksis,male,1,1610
Aleksius,male,1,65
Alen,male,1,20
Alena,female,1,102
Ales,male,1,25
Alesia,female,1,19
Alessa,female,1,76
Alessandra,female,1,189
Alessandro,male,1,156
Alessia,female,1,200
Alessio,male,1,41
Aletta,female,1,133
Alette,female,1,17
Alevtina,female,1,27
Alex,male,0.996624305003971,5036
Alexa,female,1,147
Alexander,male,1,12195
Alexandr,male,1,79
Alexandra,female,1,11639
Alexandre,male,1,300
Alexandria,female,1,77
Alexandrine,female,1,16
Alexandro,male,1,26
Alexandros,male,1,101
Alexandrovna,female,1,10
Alexandru,male,1,28
Alexanteri,male,1,48
Alexei,male,1,173
Alexej,male,1,43
Alexey,male,1,122
Alexi,male,1,279
Alexia,female,1,260
Alexiina,female,1,35
Alexina,female,1,71
Alexis,male,0.893491124260355,338
Alexius,male,1,29
Alexsander,male,1,69
Alexsandra,female,1,363
